Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,OrderInfo,OrderInfo2
C1,1,100n,,,,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,~,https://www.digikey.com/en/products/detail/kemet/C320C104M5R5TA/3726028,
C2,1,4.7u,,,,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,~,https://www.digikey.com/en/products/detail/kyocera-avx/TAP475M010SCS/1472017,
"C3,C4",2,22p,,,,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,https://www.digikey.com/en/products/detail/tdk-corporation/FG28C0G1H220JNT06/5803099,
DS1,1,WC1602A,,Excluded from BOM,,Display:WC1602A,http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf,https://www.amazon.com/gp/product/B0BFDGTPBP/ref=ox_sc_act_title_1?smid=A2RJ79XBQX6W3M&th=1,https://www.amazon.com/dp/B0BFDDZ49T?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
J1,1,Data_In0,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/harwin-inc/M20-9771146/3920928,
J2,1,Data_In1,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/harwin-inc/M20-9771146/3920928,
"J3,J4",2,LCD Connector,,,,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61301611821/6137797,
J5,1,Cond,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/metz-connect-usa-inc/PR20206VBNN/12342874,
"R1,R2",2,10k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT1K00/1741612,
"R3,R4",2,1k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT1K00/1741612,
RV1,1,10k,,,,Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal,~,https://www.digikey.com/en/products/detail/bourns-inc/PV37W103C01B00/666597,
"U1,U2",2,74HCT573,,,,Package_DIP:DIP-20_W7.62mm_Socket,74xx/74hc573.pdf,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT573E/38717 ,
U3,1,ATmega328-P,,,,Package_DIP:DIP-28_W7.62mm_Socket,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328-PU/2271026,
Y1,1,16MHz,,,,Crystal:Crystal_HC49-U_Vertical,~,https://www.digikey.com/en/products/detail/yic/16M20P2-49US/15648595,
,,,,,,,,,
,,,,,,,,,
,2,DIP-20_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED20DT/4147598,
,1,DIP-28_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED281DT/4147600,
